valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2017-M09,month,CHFL,CHFL,all,agegroup_tick,all,20,8522244,0.23,218,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2017-M10,month,CHFL,CHFL,all,agegroup_tick,all,40,8522244,0.47,258,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2017-M11,month,CHFL,CHFL,all,agegroup_tick,all,8,8522244,0.09,266,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2017-M12,month,CHFL,CHFL,all,agegroup_tick,all,4,8522244,0.05,270,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2018-M01,month,CHFL,CHFL,all,agegroup_tick,all,2,8582905,0.02,2,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2018-M02,month,CHFL,CHFL,all,agegroup_tick,all,1,8582905,0.01,3,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2018-M03,month,CHFL,CHFL,all,agegroup_tick,all,1,8582905,0.01,4,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2018-M04,month,CHFL,CHFL,all,agegroup_tick,all,11,8582905,0.13,15,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2018-M05,month,CHFL,CHFL,all,agegroup_tick,all,67,8582905,0.78,82,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2018-M06,month,CHFL,CHFL,all,agegroup_tick,all,113,8582905,1.32,195,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2018-M07,month,CHFL,CHFL,all,agegroup_tick,all,70,8582905,0.82,265,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2018-M08,month,CHFL,CHFL,all,agegroup_tick,all,32,8582905,0.37,297,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2018-M09,month,CHFL,CHFL,all,agegroup_tick,all,23,8582905,0.27,320,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2018-M10,month,CHFL,CHFL,all,agegroup_tick,all,18,8582905,0.21,338,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2018-M11,month,CHFL,CHFL,all,agegroup_tick,all,13,8582905,0.15,351,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2018-M12,month,CHFL,CHFL,all,agegroup_tick,all,6,8582905,0.07,357,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2019-M01,month,CHFL,CHFL,all,agegroup_tick,all,0,8644780,0,0,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2019-M02,month,CHFL,CHFL,all,agegroup_tick,all,0,8644780,0,0,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2019-M03,month,CHFL,CHFL,all,agegroup_tick,all,1,8644780,0.01,1,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2019-M04,month,CHFL,CHFL,all,agegroup_tick,all,15,8644780,0.17,16,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2019-M05,month,CHFL,CHFL,all,agegroup_tick,all,21,8644780,0.24,37,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2019-M06,month,CHFL,CHFL,all,agegroup_tick,all,67,8644780,0.78,104,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2019-M07,month,CHFL,CHFL,all,agegroup_tick,all,75,8644780,0.87,179,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2019-M08,month,CHFL,CHFL,all,agegroup_tick,all,24,8644780,0.28,203,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2019-M09,month,CHFL,CHFL,all,agegroup_tick,all,13,8644780,0.15,216,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2019-M10,month,CHFL,CHFL,all,agegroup_tick,all,17,8644780,0.2,233,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2019-M11,month,CHFL,CHFL,all,agegroup_tick,all,9,8644780,0.1,242,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2019-M12,month,CHFL,CHFL,all,agegroup_tick,all,2,8644780,0.02,244,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2020-M01,month,CHFL,CHFL,all,agegroup_tick,all,1,8709355,0.01,1,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2020-M02,month,CHFL,CHFL,all,agegroup_tick,all,1,8709355,0.01,2,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2020-M03,month,CHFL,CHFL,all,agegroup_tick,all,7,8709355,0.08,9,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2020-M04,month,CHFL,CHFL,all,agegroup_tick,all,22,8709355,0.25,31,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2020-M05,month,CHFL,CHFL,all,agegroup_tick,all,78,8709355,0.9,109,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2020-M06,month,CHFL,CHFL,all,agegroup_tick,all,115,8709355,1.32,224,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2020-M07,month,CHFL,CHFL,all,agegroup_tick,all,118,8709355,1.35,342,NA,rising,NA,NA,NA,NA,NA,TRUE
